mapper_1,nodo_g1,mapper_2,nodo_g2,jaccard,n_inter
C,cube4_cluster6,D,cube4_cluster0,0.09259259259259259,5
C,cube3_cluster3,D,cube16_cluster0,0.09090909090909091,2
C,cube2_cluster0,D,cube19_cluster1,0.09090909090909091,1
C,cube4_cluster2,D,cube3_cluster0,0.09090909090909091,8
C,cube6_cluster3,D,cube10_cluster0,0.09090909090909091,2
C,cube4_cluster1,D,cube11_cluster0,0.09,18
C,cube4_cluster4,D,cube17_cluster0,0.08974358974358974,7
C,cube4_cluster6,D,cube6_cluster0,0.08888888888888889,8
C,cube4_cluster1,D,cube23_cluster0,0.08866995073891626,18
C,cube5_cluster1,D,cube8_cluster0,0.08823529411764706,3
C,cube5_cluster2,D,cube29_cluster0,0.08695652173913043,4
C,cube5_cluster2,D,cube35_cluster0,0.08695652173913043,4
C,cube4_cluster3,D,cube21_cluster0,0.08695652173913043,2
C,cube4_cluster1,D,cube3_cluster0,0.08636363636363636,19
C,cube4_cluster4,D,cube2_cluster0,0.08620689655172414,5
C,cube4_cluster6,D,cube7_cluster0,0.08571428571428572,6
C,cube4_cluster1,D,cube18_cluster0,0.08490566037735849,18
C,cube4_cluster1,D,cube6_cluster0,0.08372093023255814,18
C,cube4_cluster4,D,cube33_cluster0,0.08333333333333333,5
C,cube4_cluster6,D,cube3_cluster0,0.08333333333333333,8
C,cube4_cluster4,D,cube34_cluster0,0.08333333333333333,5
C,cube4_cluster4,D,cube28_cluster0,0.08333333333333333,5
C,cube3_cluster8,D,cube22_cluster0,0.08333333333333333,1
C,cube3_cluster8,D,cube15_cluster0,0.08333333333333333,1
C,cube5_cluster0,D,cube23_cluster0,0.08290155440414508,16
C,cube4_cluster4,D,cube13_cluster0,0.08181818181818182,9
C,cube3_cluster7,D,cube35_cluster0,0.08108108108108109,3
C,cube3_cluster7,D,cube29_cluster0,0.08108108108108109,3
C,cube5_cluster0,D,cube3_cluster0,0.08095238095238096,17
C,cube5_cluster3,D,cube5_cluster0,0.08064516129032258,5
C,cube5_cluster0,D,cube9_cluster0,0.08045977011494253,14
C,cube4_cluster8,D,cube30_cluster0,0.08,6
C,cube4_cluster1,D,cube30_cluster0,0.08,16
C,cube4_cluster4,D,cube26_cluster0,0.08,8
C,cube3_cluster3,D,cube6_cluster0,0.08,6
C,cube5_cluster0,D,cube30_cluster0,0.07936507936507936,15
C,cube5_cluster0,D,cube18_cluster0,0.07920792079207921,16
C,cube6_cluster6,D,cube9_cluster0,0.07894736842105263,3
C,cube5_cluster4,D,cube23_cluster0,0.078125,5
C,cube5_cluster0,D,cube5_cluster0,0.07784431137724551,13
C,cube4_cluster7,D,cube14_cluster0,0.07692307692307693,2
C,cube4_cluster4,D,cube27_cluster0,0.07692307692307693,6
C,cube3_cluster1,D,cube14_cluster0,0.07692307692307693,2
C,cube4_cluster1,D,cube7_cluster0,0.07653061224489796,15
C,cube5_cluster0,D,cube17_cluster0,0.07526881720430108,14
C,cube3_cluster9,D,cube12_cluster0,0.075,3
C,cube4_cluster8,D,cube23_cluster0,0.075,6
C,cube4_cluster0,D,cube34_cluster0,0.07462686567164178,5
C,cube4_cluster0,D,cube33_cluster0,0.07462686567164178,5
C,cube4_cluster0,D,cube28_cluster0,0.07462686567164178,5
C,cube4_cluster6,D,cube29_cluster0,0.07407407407407407,4
C,cube5_cluster2,D,cube38_cluster0,0.07407407407407407,2
C,cube4_cluster6,D,cube35_cluster0,0.07407407407407407,4
C,cube3_cluster3,D,cube3_cluster0,0.07407407407407407,6
C,cube4_cluster4,D,cube18_cluster0,0.07291666666666667,7
C,cube5_cluster0,D,cube6_cluster0,0.07281553398058252,15
C,cube5_cluster0,D,cube26_cluster0,0.07211538461538461,15
C,cube5_cluster2,D,cube6_cluster0,0.07142857142857142,6
C,cube5_cluster9,D,cube36_cluster0,0.07142857142857142,1
C,cube5_cluster3,D,cube9_cluster0,0.07142857142857142,5
C,cube5_cluster7,D,cube2_cluster0,0.07142857142857142,2
C,cube4_cluster10,D,cube36_cluster0,0.07142857142857142,1
C,cube3_cluster3,D,cube24_cluster0,0.07142857142857142,2
